author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
MR Group;developer;https://www.cian.ru/sale/flat/306614056/;Москва;sale;flat;9;28;3;87.7;32115301;Даниловский;;;Павелецкая;Павелецкая Сити ЖК
Дмитрий Асташов;realtor;https://www.cian.ru/sale/flat/307964340/;Москва;sale;flat;6;9;3;58.7;21000000;Академический;Большая Черемушкинская ;2К1;Крымская;
Главстрой;developer;https://www.cian.ru/sale/flat/307942465/;Москва;sale;flat;5;35;3;95.73;40514371;Котловка;31/2;31/2;Профсоюзная;Новые Академики ЖК
Century 21 Level;real_estate_agent;https://www.cian.ru/sale/flat/308753890/;Москва;sale;flat;6;16;3;73.4;19500000;Теплый Стан; Академика Варги;36;Генерала Тюленева;
КОРТРОС;developer;https://www.cian.ru/sale/flat/296640175/;Москва;sale;flat;5;49;3;79.14;32051700;Марьина роща;;;Марьина Роща;Тэйт ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308074172/;Москва;sale;flat;8;11;3;134.5;90000000;Якиманка; Серафимовича;2;Боровицкая;
Absolute Premium;developer;https://www.cian.ru/sale/flat/304065721/;Москва;sale;flat;2;18;3;118.1;134761000;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
RMRealty;real_estate_agent;https://www.cian.ru/sale/flat/307967977/;Москва;sale;flat;3;14;3;93.0;64900000;Раменки;проспект Генерала Дорохова;39к1В;Минская;Собрание клубных домов West Garden
MR Group;developer;https://www.cian.ru/sale/flat/308909146/;Москва;sale;flat;11;13;3;141.9;252851610;Мещанский;Садовая-Сухаревская ;14;Цветной бульвар;Клубный дом Forum
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/296202679/;Москва;sale;flat;5;20;3;116.7;115000000;Пресненский;2-я Звенигородская ;16;Улица 1905 года;Lucky
Romanov Estate;real_estate_agent;https://www.cian.ru/sale/flat/303857132/;Москва;sale;flat;12;58;3;62.3;25000000;Коньково;40-й кв-л;к2;Калужская;Обручева 30 ЖК
Sminex;developer;https://www.cian.ru/sale/flat/293713709/;Москва;sale;flat;2;14;3;142.1;309370000;Якиманка;;;Полянка;Лаврушинский ЖК
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/307566350/;Москва;sale;flat;2;16;3;74.0;17800000;Орехово-Борисово Северное;Каширское шоссе;90к1;Домодедовская;
Пионер;developer;https://www.cian.ru/sale/flat/308640109/;Москва;sale;flat;3;11;3;85.9;77617693;Даниловский;;;Павелецкая;Опус ЖК
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/306947550/;Москва;sale;flat;3;6;3;72.0;30000000;Тверской;Новослободская ;73К3;Савёловская;
Екатерина Трипольская;realtor;https://www.cian.ru/sale/flat/308788985/;Москва;sale;flat;8;12;3;94.0;49000000;Видовая кв-ра в е Мосфильма3-комн. квартира;94 м²;;;
TOUCH;developer;https://www.cian.ru/sale/flat/302838498/;Москва;sale;flat;6;13;3;75.37;41550880;Южнопортовый;;к3;Дубровка;Шампайн ЖК
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/303766764/;Москва;sale;flat;2;4;3;137.9;275110500;Хамовники;Пречистенская набережная;7;Парк Культуры;Кленовый DOM
Estes;real_estate_agent;https://www.cian.ru/sale/flat/307771676/;Москва;sale;flat;12;14;3;79.5;19440000;Люблино; Головачева;27;Люблино;
Sminex;developer;https://www.cian.ru/sale/flat/308620410/;Москва;sale;flat;2;21;3;79.64;44810000;Марфино; Академика Королева;21;Бутырская;Дом Достижение
Point Estate Город;real_estate_agent;https://www.cian.ru/sale/flat/291925257/;Москва;sale;flat;3;9;3;148.5;189000000;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/308352419/;Москва;sale;flat;5;7;3;75.0;41500000;Басманный; Земляной Вал;34С4;Курская;
COLDY;developer;https://www.cian.ru/sale/flat/303330161/;Москва;sale;flat;4;15;3;112.49;85627388;Даниловский; Серпуховский Вал;7;Тульская;Дом 7 Даниловский
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/307113533/;Москва;sale;flat;47;47;3;131.9;59355000;Бутырский;Новодмитровская ;2к5;Дмитровская;Савеловский Сити
ID 99244989;homeowner;https://www.cian.ru/sale/flat/306063858/;Москва;sale;flat;4;5;3;72.2;18250000;Перово;Мартеновская ;6К3;Новогиреево;
Пионер;developer;https://www.cian.ru/sale/flat/308884181/;Москва;sale;flat;3;39;3;70.5;47630082;Даниловский;;;Павелецкая;Хай Лайф ЖК
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/304304141/;Москва;sale;flat;7;18;3;89.7;98000000;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
MOD Estate;real_estate_agent;https://www.cian.ru/sale/flat/303732989/;Москва;sale;flat;29;33;3;72.8;23999000;Отрадное;Сигнальный проезд;16к1;Владыкино;Сигнальный 16
Tekta Group;developer;https://www.cian.ru/sale/flat/303506224/;Москва;sale;flat;9;34;3;57.1;23599430;Нагорный;;2;Нагорная;Твелв ЖК
САДОВЫЕ КВАРТАЛЫ;real_estate_agent;https://www.cian.ru/sale/flat/304330107/;Москва;sale;flat;11;14;3;242.97;328500000;Хамовники; Усачева;11;Спортивная;Садовые кварталы
BERI;real_estate_agent;https://www.cian.ru/sale/flat/308089669/;Москва;sale;flat;4;6;3;75.0;71250000;Хамовники;переулок Плотников;10;Смоленская;
Пионер;developer;https://www.cian.ru/sale/flat/301459890/;Москва;sale;flat;7;18;3;84.9;60621401;Донской;2-й Донской проезд;10;Ленинский проспект;SHIFT
Ramenky Realty;real_estate_agent;https://www.cian.ru/sale/flat/300298619/;Москва;sale;flat;8;12;3;136.5;102000000;Раменки; Сергея Бондарчука;4;Мичуринский проспект;Река
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/306261351/;Москва;sale;flat;8;29;3;63.2;27900000;Очаково-Матвеевское;Аминьевское шоссе;4Дк3литБ;Аминьевская;Вестердам
Hutton Development;developer;https://www.cian.ru/sale/flat/303616418/;Москва;sale;flat;3;6;3;134.1;295020000;Якиманка;Софийская набережная;34С3;Новокузнецкая;Клубный дом DUO
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/307215537/;Москва;sale;flat;3;14;3;138.9;236130000;Хамовники;переулок 1-й Тружеников;16;Киевская;Brodsky
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/301132017/;Москва;sale;flat;2;4;3;200.0;520000000;Якиманка;1-й Голутвинский переулок;7;Октябрьская;1-й Голутвинский пер. д. 7
Донстрой;developer;https://www.cian.ru/sale/flat/308969444/;Москва;sale;flat;5;21;3;78.6;32996280;Лефортово;;;Площадь Ильича;Символ ЖК
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/304817322/;Москва;sale;flat;3;21;3;92.2;98285200;Пресненский;2-я Звенигородская ;14;Улица 1905 года;Lucky
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/282555064/;Москва;sale;flat;2;18;3;70.0;29950000;Беговой;Ленинградский проспект;29к3;Динамо;Царская площадь
MR Group;developer;https://www.cian.ru/sale/flat/306603347/;Москва;sale;flat;16;36;3;88.0;70149112;Беговой;Ленинградский проспект;вл8;Белорусская;Slava
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/308657569/;Москва;sale;flat;6;7;3;150.3;186000000;Пресненский;Садовая-Кудринская ;8-10-12;Баррикадная;
Винидиктов и Партнеры;real_estate_agent;https://www.cian.ru/sale/flat/307106658/;Москва;sale;flat;3;15;3;100.0;180000000;Хамовники; Усачева;15А;Спортивная;Садовые кварталы
Мангазея;developer;https://www.cian.ru/sale/flat/308903093/;Москва;sale;flat;6;41;3;95.1;45448290;Даниловский;Большая Тульская ;10С5;Тульская;Мангазея на Тульской
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/300822468/;Москва;sale;flat;5;21;3;117.0;114000000;Пресненский;2-я Звенигородская ;16;Улица 1905 года;Lucky
Снегири;developer;https://www.cian.ru/sale/flat/304284346/;Москва;sale;flat;3;4;3;217.0;430000201;Раменки;Минская ;2Вк6;Минская;Снегири Эко
EraOneHolding;developer;https://www.cian.ru/sale/flat/299053644/;Москва;sale;flat;7;8;3;128.6;128600000;Арбат; Арбат;24;Смоленская;Turandot Residences
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/304737194/;Москва;sale;flat;3;21;3;92.2;98285200;Пресненский;2-я Звенигородская ;14;Улица 1905 года;Lucky
ALFA real estate;real_estate_agent;https://www.cian.ru/sale/flat/305340828/;Москва;sale;flat;3;6;3;84.6;59900000;Пресненский;Трехпрудный переулок;11/13С1;Маяковская;
Основа;developer;https://www.cian.ru/sale/flat/306790197/;Москва;sale;flat;10;13;3;80.2;46516000;Замоскворечье;Большой Строченовский переулок;9;Павелецкая;Резиденции Замоскворечье
Romanov Estate;real_estate_agent;https://www.cian.ru/sale/flat/302154001/;Москва;sale;flat;5;33;3;99.0;48999999;Пресненский; Пресненский Вал;27С2;Белорусская;Republic
Estes;real_estate_agent;https://www.cian.ru/sale/flat/307776114/;Москва;sale;flat;6;17;3;73.6;24500000;Богородское;Краснобогатырская ;79;Преображенская площадь;
Sense Development;developer;https://www.cian.ru/sale/flat/304888591/;Москва;sale;flat;10;13;3;103.6;62517091;Даниловский; Даниловский Вал;1А;Тульская;Logos
ID 65939370;unknown;https://www.cian.ru/sale/flat/307114785/;Москва;sale;flat;3;25;3;131.2;51900000;Очаково-Матвеевское;Нежинская ;8К4;Матвеевская;Нежинский ковчег
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/303582034/;Москва;sale;flat;18;33;3;91.6;23000000;Южное Бутово; Поляны;5Ак2;Улица Скобелевская;Столичные поляны
Capital Group;developer;https://www.cian.ru/sale/flat/296119400/;Москва;sale;flat;2;4;3;135.3;207000000;Якиманка;Софийская набережная;10;;Золотой, жилой квартал
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/306942080/;Москва;sale;flat;37;41;3;97.2;72300000;Хорошевский;Ленинградский проспект;37/3;Аэропорт;Прайм Парк
ID 53674910;homeowner;https://www.cian.ru/sale/flat/307426466/;Москва;sale;flat;2;8;3;133.3;230000000;Раменки;Мосфильмовская ;1к4;Ломоносовский проспект;Вишневый сад
Киноцентр;developer;https://www.cian.ru/sale/flat/308070372/;Москва;sale;flat;8;20;3;89.7;75348000;Пресненский; Красная Пресня;3;Краснопресненская;SkyView
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/303228319/;Москва;sale;flat;5;21;3;116.78;115000000;Пресненский;2-я Звенигородская ;16;Улица 1905 года;Lucky
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/298324265/;Москва;sale;flat;2;7;3;97.1;43900000;Донской;Ленинский проспект;35;Ленинский проспект;
FORMA;developer;https://www.cian.ru/sale/flat/298068847/;Москва;sale;flat;4;33;3;74.72;44301488;Пресненский;к2.3;к2.3;Белорусская;Репаблик ЖК
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/300973858/;Москва;sale;flat;7;41;3;91.2;80000000;Хорошевский;Ленинградский проспект;37/3;Аэропорт;Прайм Парк
Estes;real_estate_agent;https://www.cian.ru/sale/flat/302345285/;Москва;sale;flat;1;12;3;71.5;18500000;Богородское;Малая Черкизовская ;66;Преображенская площадь;
MR Group;developer;https://www.cian.ru/sale/flat/308088572/;Москва;sale;flat;2;7;3;192.99;463176000;Арбат;Крестовоздвиженский переулок;4;Арбатская;LUCE
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/307310125/;Москва;sale;flat;3;5;3;112.0;85000000;Хамовники;Комсомольский проспект;42С2;Спортивная;Clerkenwell House
Концерн КРОСТ;developer;https://www.cian.ru/sale/flat/298380290/;Москва;sale;flat;3;19;3;86.5;38665500;Щукино; Ротмистрова;2;Октябрьское поле;Театральный квартал
PIONEER;developer;https://www.cian.ru/sale/flat/306809961/;Москва;sale;flat;2;22;3;80.8;36120508;Марьина роща;Полковая ;1С12;Савёловская;PRIDE
Феликс;real_estate_agent;https://www.cian.ru/sale/flat/283840624/;Москва;sale;flat;3;13;3;149.2;68000000;Тверской;Долгоруковская ;6;Новослободская;
Dream Realty;real_estate_agent;https://www.cian.ru/sale/flat/303113167/;Москва;sale;flat;1;11;3;87.6;24500000;Алексеевский; Павла Корчагина;13;ВДНХ;
Ташир;developer;https://www.cian.ru/sale/flat/308803040/;Москва;sale;flat;25;32;3;83.7;;Черемушки;Херсонская ;43к5;Зюзино;ONYX Deluxe
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/282554703/;Москва;sale;flat;7;18;3;90.4;45000000;Беговой;Ленинградский проспект;29к1;Динамо;Царская площадь
Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/298973372/;Москва;sale;flat;14;36;3;96.0;56000000;Хорошево-Мневники;Шелепихинская набережная;34к2;Шелепиха;Сердце Столицы
СТ Тауэрс;developer;https://www.cian.ru/sale/flat/304149603/;Москва;sale;flat;65;66;3;85.8;84942000;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити;NEVA TOWERS
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/308711129/;Москва;sale;flat;9;21;3;117.0;115000000;Пресненский;2-я Звенигородская ;16;Улица 1905 года;Lucky
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/299927735/;Москва;sale;flat;2;6;3;80.0;82000000;Замоскворечье;Большой Ордынский переулок;4С4;Третьяковская;Собрание клубных домов ORDYNKA
Среда;developer;https://www.cian.ru/sale/flat/303859420/;Москва;sale;flat;3;13;3;71.3;24567484;Очаково-Матвеевское;Очаково мкр;;Аминьевская;Среда на Лобачевского
Yhome;real_estate_agent;https://www.cian.ru/sale/flat/308955512/;Москва;sale;flat;5;21;3;117.0;115000000;Пресненский;2-я Звенигородская ;16;Улица 1905 года;Lucky
Юлия Мамаева;realtor;https://www.cian.ru/sale/flat/305391005/;Москва;sale;flat;4;9;3;70.0;32000000;Ломоносовский;Ленинский проспект;89/2;Новаторская;
Dominanta;developer;https://www.cian.ru/sale/flat/304842338/;Москва;sale;flat;18;34;3;89.9;62885050;Раменки;проезд 4-й Сетуньский;10Ас2;Парк Победы;hideOUT
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/303016439/;Москва;sale;flat;4;5;3;150.8;195000000;Пресненский;Леонтьевский переулок;11;Тверская;Леонтьевский 11
HOUSE MALL - Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/300788449/;Москва;sale;flat;14;22;3;84.0;45000000;Свиблово;Сельскохозяйственная ;38к2;Ботанический сад;LIFE-Ботанический сад
Sminex;developer;https://www.cian.ru/sale/flat/293711658/;Москва;sale;flat;3;6;3;136.8;292820000;Басманный;Потаповский переулок;5С4;Чистые пруды;Чистые Пруды
Времена года;real_estate_agent;https://www.cian.ru/sale/flat/308395572/;Москва;sale;flat;11;14;3;100.0;215000000;Хамовники; Усачева;15А;Спортивная;Садовые кварталы
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/308359079/;Москва;sale;flat;2;16;3;68.4;18990000;Южное Бутово; Поляны;5Ак1;Улица Скобелевская;Столичные поляны
Hutton Development;developer;https://www.cian.ru/sale/flat/305627366/;Москва;sale;flat;8;17;3;142.1;91228200;Гагаринский;Ленинский проспект;38;Ленинский проспект;Lunar
Contact Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/308747081/;Москва;sale;flat;13;20;3;130.2;155000000;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
TimeProperty;real_estate_agent;https://www.cian.ru/sale/flat/293666231/;Москва;sale;flat;20;43;3;84.2;37500000;Хорошево-Мневники;Шелепихинская набережная;34к7;Шелепиха;Сердце Столицы
Ташир;developer;https://www.cian.ru/sale/flat/274701224/;Москва;sale;flat;2;17;3;72.6;43233300;Раменки;Мичуринский проспект;вл30Б;Ломоносовский проспект;Legacy
Центрис;real_estate_agent;https://www.cian.ru/sale/flat/308600747/;Москва;sale;flat;4;14;3;105.0;160000000;Хамовники; Усачева;11;Спортивная;Садовые кварталы
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/296139192/;Москва;sale;flat;24;44;3;69.0;31700000;Пресненский;Ходынская ;2;Улица 1905 года;Пресня Сити
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/307196506/;Москва;sale;flat;2;20;3;62.3;20880032;Головинский;Михалковская ;48С4;Коптево;Михалковский
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307432577/;Москва;sale;flat;11;16;3;100.0;215000000;Хамовники; Усачева;15А;Спортивная;Садовые кварталы
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/290884000/;Москва;sale;flat;3;24;3;107.6;73000000;Беговой;Верхняя ;20к1;Белорусская;Суббота
Стадион Спартак;developer;https://www.cian.ru/sale/flat/282960151/;Москва;sale;flat;2;13;3;79.3;38833210;Покровское-Стрешнево;Вивальди кв-л;;Спартак;Клубный Город на Реке Примавера ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/306008768/;Москва;sale;flat;22;53;3;153.0;167970000;Раменки;Мосфильмовская ;8;Ломоносовский проспект;Дом на Мосфильмовской
