author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/306243037/;Москва;sale;flat;15;23;3;82.8;39578400;Басманный; Фридриха Энгельса;56С9;Бауманская;Дом 56
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/308802493/;Москва;sale;flat;10;20;3;110.7;122000000;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/306567075/;Москва;sale;flat;2;10;3;115.0;101000000;Тверской;Большая Грузинская ;69;Белорусская;Четыре Ветра
VESPER;developer;https://www.cian.ru/sale/flat/307544571/;Москва;sale;flat;2;21;3;157.8;165216600;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/308825551/;Москва;sale;flat;2;12;3;106.2;53000000;Хорошевский;Ходынский бульвар;19;ЦСКА;Гранд-парк
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679858/;Москва;sale;flat;11;20;3;87.02;32910964;Даниловский;;;Тульская;Форст ЖК
Tekta Group;developer;https://www.cian.ru/sale/flat/301259721/;Москва;sale;flat;19;42;3;65.9;30201484;Котловка;Севастопольский проспект;22А;Нагорная;Eniteo
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/305736633/;Москва;sale;flat;35;41;3;97.4;95000000;Хорошевский;Ленинградский проспект;37/3;Аэропорт;Прайм Парк
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308907053/;Москва;sale;flat;7;14;3;206.0;289913700;Арбат;Малый Новопесковский переулок;8;Смоленская;Дом на Смоленской набережной
Главстрой;developer;https://www.cian.ru/sale/flat/307941294/;Москва;sale;flat;4;20;3;103.7;40291971;Филевский парк;Береговой проезд;2;Фили;Береговой-2
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/289779271/;Москва;sale;flat;4;8;3;70.0;66196961;Хамовники;Смоленский бульвар;22/14;Смоленская;
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/306447297/;Москва;sale;flat;13;21;3;130.0;155000000;Пресненский; Костикова;4к4;Улица 1905 года;Lucky
VESPER;developer;https://www.cian.ru/sale/flat/308110877/;Москва;sale;flat;4;6;3;264.6;661500000;Пресненский;Трехпрудный переулок;9С2;Пушкинская;Клубный дом Левенсон
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/302398135/;Москва;sale;flat;5;17;3;105.0;130000000;Пресненский; Сергея Макеева;9к2;Улица 1905 года;RedSide
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/296710178/;Москва;sale;flat;22;31;3;83.0;52000000;Раменки; Лобачевского;120к1;Аминьевская;Крылья
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/303040443/;Москва;sale;flat;5;5;3;183.1;174494300;Арбат;Поварская ;8/1к1;Арбатская;De Luxe квартал апартаментов Театральный Дом
Бюро Эстейт Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/303395678/;Москва;sale;flat;5;21;3;120.0;115000000;Пресненский;2-я Звенигородская ;16;Улица 1905 года;Lucky
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/306888870/;Москва;sale;flat;25;35;3;137.6;70000000;Щукино;Авиационная ;79К1;Щукинская;Алые Паруса
MR Group;developer;https://www.cian.ru/sale/flat/306610279/;Москва;sale;flat;8;59;3;56.1;;Можайский;;;Давыдково;Веер ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308896854/;Москва;sale;flat;7;14;3;206.0;289913700;Арбат;Малый Новопесковский переулок;8;Смоленская;Дом на Смоленской набережной
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/306151519/;Москва;sale;flat;5;8;3;123.0;74800000;Тверской;Сущевская ;31;Менделеевская;
MR Group;developer;https://www.cian.ru/sale/flat/300288094/;Москва;sale;flat;5;43;3;84.79;37441144;Савеловский;2-я Хуторская ;34;Дмитровская;SYMPHONY 34
HOUSE MALL - Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/305275545/;Москва;sale;flat;11;20;3;117.1;46500000;Свиблово;проезд Серебрякова;11к1;Ботанический сад;Silver
ID 9732616;homeowner;https://www.cian.ru/sale/flat/307629661/;Москва;sale;flat;8;8;3;95.0;31000000;Куркино;Соколово-Мещерская ;16/114;Молжаниново;
UNIQ Development;developer;https://www.cian.ru/sale/flat/307668354/;Москва;sale;flat;11;25;3;109.2;89544000;Фили-Давыдково;Малая Филевская ;46;Кунцевская;Springs
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/307587007/;Москва;sale;flat;5;5;3;92.4;75000000;Пресненский;Мерзляковский переулок;13;Арбатская;
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/280083088/;Москва;sale;flat;3;6;3;123.0;92250000;Беговой; 3-я Ямского Поля;9;Белорусская;Art Residence
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/308080997/;Москва;sale;flat;2;6;3;118.66;195551680;Замоскворечье;Космодамианская набережная;4/22С8;Новокузнецкая;Клубный дом Космо 4/22
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/300871845/;Москва;sale;flat;3;15;3;95.0;35000000;Пресненский;Зоологическая ;30С2;Баррикадная;
ANT Development;developer;https://www.cian.ru/sale/flat/303519403/;Москва;sale;flat;3;10;3;105.8;115430498;Дорогомилово;;3к8;Поклонная;Виктори Парк Резиденсез ЖК
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/307888004/;Москва;sale;flat;9;9;3;50.0;11700000;Чертаново Центральное; Красного Маяка;11К1;Пражская;
Среда;developer;https://www.cian.ru/sale/flat/304753723/;Москва;sale;flat;2;44;3;83.71;28859441;Кунцево;48-й кв-л;;Кунцевская;Кутузовский Квартал ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/303848561/;Москва;sale;flat;8;29;3;80.0;36900000;Раменки;Мосфильмовская ;74Б;Ломоносовский проспект;Мосфильмовская
Tekta Group;developer;https://www.cian.ru/sale/flat/306178079/;Москва;sale;flat;14;34;3;59.3;28339470;Обручевский;;;Калужская;Эвер ЖК
ID 12693939;realtor;https://www.cian.ru/sale/flat/308367102/;Москва;sale;flat;24;28;3;71.0;38000000;Филевский парк;Береговой проезд;1Б;Шелепиха;мой адрес На Береговом
