СТ Тауэрс,developer,Москва,sale,flat,66,5,588.1,1058580000.0,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS
Verges of estate,real_estate_agent,Москва,sale,flat,31,5,212.0,115000000.0,Очаково-Матвеевское,Нежинская ,1к1,Давыдково,Кутузовская Ривьера
Департамент города Москвы по конкурентной политике,real_estate_agent,Москва,sale,flat,19,5,128.1,32899500.0,Академический, Дмитрия Ульянова,27к1,Академическая,
Hutton Development,developer,Москва,sale,flat,6,5,236.7,497070000.0,Якиманка,Софийская набережная,34С3,Новокузнецкая,Клубный дом DUO
BARNES International Realty,real_estate_agent,Москва,sale,flat,31,5,212.0,115000000.0,Очаково-Матвеевское,Нежинская ,1к1,Давыдково,Кутузовская Ривьера
ID 51317713,unknown,Москва,sale,flat,28,5,128.8,75000000.0,Филевский парк,Береговой проезд,1Б,Шелепиха,мой адрес На Береговом
VESPER,developer,Москва,sale,flat,5,5,590.3,2361200000.0,Пресненский,Трехпрудный переулок,9С1,Маяковская,Клубный дом Левенсон
ID 112609323,realtor,Москва,sale,flat,6,5,310.15,325657500.0,Хамовники,Зубовская ,7,Парк Культуры,Roza Rossa
Apple Real Estate,real_estate_agent,Москва,sale,flat,7,5,136.0,58500000.0,Мещанский, Гиляровского,62,Рижская,
КОРТРОС,developer,Москва,sale,flat,49,5,206.56,206560000.0,Марьина роща, Веткина,2С8,Марьина Роща,TATE 
Intermark Real Estate,real_estate_agent,Москва,sale,flat,75,5,294.7,294700000.0,Пресненский,набережная Пресненская,8с1,Деловой центр,Город Столиц
Monumental Group,real_estate_agent,Москва,sale,flat,6,5,163.0,145845000.0,Басманный, Чаплыгина,1АС1,Красные ворота,
Стадион Спартак,developer,Москва,sale,flat,13,5,180.2,129437660.0,Покровское-Стрешнево,Вивальди кв-л,,Спартак,Клубный Город на Реке Примавера ЖК
MC REALTY,real_estate_agent,Москва,sale,flat,75,5,304.0,260000000.0,Пресненский,набережная Пресненская,8с1,Деловой центр,Город Столиц
Whitewill,real_estate_agent,Москва,sale,flat,18,5,125.0,84000000.0,Алексеевский,Новоалексеевская ,16к3,Алексеевская,Серебряный фонтан
Sminex,developer,Москва,sale,flat,10,5,212.4,202250000.0,Пресненский,2-я Черногрязская ,,Улица 1905 года,Квартал LIFE TIME
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,76,5,303.4,260000000.0,Пресненский,набережная Пресненская,8с1,Деловой центр,Город Столиц
ЛюксДом,real_estate_agent,Москва,sale,flat,57,5,663.0,217900000.0,Хорошевский,Чапаевский переулок,3,Аэропорт,Триумф-Палас
Концерн КРОСТ,developer,Москва,sale,flat,19,5,126.2,60954600.0,Щукино, Расплетина,2к1,Октябрьское поле,Театральный квартал
Kalinka Group,real_estate_agent,Москва,sale,flat,24,5,182.0,145000000.0,Раменки,Ломоносовский проспект,25к3,Университет,Dominion
Азиза Шажен-Батуева,realtor,Москва,sale,flat,8,5,110.0,42500000.0,Академический, Вавилова,55/7,Академическая,
Sminex,developer,Москва,sale,flat,6,5,392.2,1392320000.0,Басманный,Потаповский переулок,5С4,Чистые пруды,Чистые Пруды
Whitewill,real_estate_agent,Москва,sale,flat,3,5,311.0,265000000.0,Хамовники,1-й Зачатьевский переулок,6,Кропоткинская,
СТОЛИЦА. Москва и МО,real_estate_agent,Москва,sale,flat,12,5,95.0,34000000.0,Басманный,Переведеновский переулок,3,Бауманская,
Донстрой,developer,Москва,sale,flat,21,5,148.7,72595340.0,Хорошево-Мневники, Нижние Мневники,,Мнёвники,Остров
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,7,5,398.1,170000000.0,Крылатское,Крылатская ,45К3,Крылатское,Долина грез
Homeapp,real_estate_agent,Москва,sale,flat,17,5,120.0,39800000.0,Коньково, Академика Капицы,4,Коньково,
Regions Development,developer,Москва,sale,flat,24,5,159.9,73477782.0,Нагатинский затон,проспект Андропова,9/1,Технопарк,Dream Towers
Whitewill,real_estate_agent,Москва,sale,flat,3,5,325.0,330000000.0,Тверской,Долгоруковская ,23А,Новослободская,Cameo Moscow Villas
СЕДЬМОЕ НЕБО,real_estate_agent,Москва,sale,flat,8,5,105.0,40000000.0,Алексеевский, Бориса Галушкина,26,ВДНХ,
Донстрой,developer,Москва,sale,flat,16,5,180.4,142516000.0,Раменки, Сергея Бондарчука,2,Мичуринский проспект,Река
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,11,5,179.2,104000000.0,Басманный,Старая Басманная ,10С5,Курская,KAZAKOV Grand Loft
ГОРОБМЕН,real_estate_agent,Москва,sale,flat,17,5,135.0,35000000.0,Тропарево-Никулино,Никулинская ,15К2,Озёрная,
Основа,developer,Москва,sale,flat,19,5,211.9,190710000.0,Красносельский,проспект Академика Сахарова,7,Красные ворота,RED7
